name,category,area,indoor,outdoor,rain_good,cold_good,hot_good,dry_good,wind_good,max_commute_mins,description
British Museum,museum,Bloomsbury,yes,no,yes,yes,yes,yes,yes,45,"World culture museum, ideal for rainy or cold days"
Natural History Museum,museum,South Kensington,yes,no,yes,yes,yes,yes,yes,45,"Major natural history museum, good for wet or windy weather"
Victoria and Albert Museum,museum,South Kensington,yes,no,yes,yes,yes,yes,yes,45,"Design and decorative arts museum, strong indoor option"
Science Museum,museum,South Kensington,yes,no,yes,yes,yes,yes,yes,45,"Interactive science museum, ideal for mixed weather"
National Gallery,gallery,Trafalgar Square,yes,no,yes,yes,yes,yes,yes,35,"Classic art gallery, excellent rainy-day choice"
National Portrait Gallery,gallery,Trafalgar Square,yes,no,yes,yes,yes,yes,yes,35,Portrait gallery close to central London sights
Tate Modern,gallery,Bankside,yes,no,yes,yes,yes,yes,yes,40,Modern art gallery on the South Bank
Tate Britain,gallery,Pimlico,yes,no,yes,yes,yes,yes,yes,35,British art gallery with strong indoor collections
Wallace Collection,gallery,Marylebone,yes,no,yes,yes,yes,yes,yes,45,Elegant collection of fine art and decorative objects
Royal Academy of Arts,gallery,Piccadilly,yes,no,yes,yes,yes,yes,yes,40,"Major exhibition venue, good for grey weather"
The Courtauld Gallery,gallery,Somerset House,yes,no,yes,yes,yes,yes,yes,40,Compact art gallery with major Impressionist works
Whitechapel Gallery,gallery,Whitechapel,yes,no,yes,yes,yes,yes,yes,55,"Contemporary art gallery, good for cooler days"
Hayward Gallery,gallery,South Bank,yes,no,yes,yes,yes,yes,yes,40,Contemporary exhibitions near the Thames
Serpentine North Gallery,gallery,Kensington Gardens,yes,no,yes,yes,yes,yes,yes,45,Small contemporary gallery beside parkland
Serpentine South Gallery,gallery,Kensington Gardens,yes,no,yes,yes,yes,yes,yes,45,Contemporary gallery ideal with a park walk
Dulwich Picture Gallery,gallery,Dulwich,yes,no,yes,yes,yes,yes,yes,45,Historic art gallery in leafy south London
Horniman Museum and Gardens,museum,Forest Hill,yes,no,yes,yes,yes,yes,yes,55,"Museum with gardens and views, good in mixed weather"
Wellcome Collection,museum,Euston,yes,no,yes,yes,yes,yes,yes,50,"Health and culture museum, ideal rainy-day option"
Sir John Soane's Museum,museum,Lincoln's Inn Fields,yes,no,yes,yes,yes,yes,yes,45,"Atmospheric house museum, good for cooler weather"
Charles Dickens Museum,museum,Bloomsbury,yes,no,yes,yes,yes,yes,yes,45,Historic author’s house museum
Foundling Museum,museum,Bloomsbury,yes,no,yes,yes,yes,yes,yes,45,Museum of social history and art
